N,kappa_AdSCFT,kappa_matrix,kappa_defect
2,0.5,0.5,0.25
3,0.3333333333333333,0.3333333333333333,0.16666666666666666
4,0.25,0.25,0.125
5,0.2,0.2,0.1
6,0.16666666666666666,0.16666666666666666,0.08333333333333333
7,0.14285714285714285,0.14285714285714285,0.07142857142857142
8,0.125,0.125,0.0625
9,0.1111111111111111,0.1111111111111111,0.05555555555555555
10,0.1,0.1,0.05
11,0.09090909090909091,0.09090909090909091,0.045454545454545456
12,0.08333333333333333,0.08333333333333333,0.041666666666666664
13,0.07692307692307693,0.07692307692307693,0.038461538461538464
14,0.07142857142857142,0.07142857142857142,0.03571428571428571
15,0.06666666666666667,0.06666666666666667,0.03333333333333333
16,0.0625,0.0625,0.03125
17,0.058823529411764705,0.058823529411764705,0.029411764705882353
18,0.05555555555555555,0.05555555555555555,0.027777777777777776
19,0.05263157894736842,0.05263157894736842,0.02631578947368421
20,0.05,0.05,0.025
21,0.047619047619047616,0.047619047619047616,0.023809523809523808
22,0.045454545454545456,0.045454545454545456,0.022727272727272728
23,0.043478260869565216,0.043478260869565216,0.021739130434782608
24,0.041666666666666664,0.041666666666666664,0.020833333333333332
25,0.04,0.04,0.02
